model,accuracy,precision,recall,f1,roc_auc,train_seconds
Gradient Boosting,0.9695507133224501,0.9130982367758187,0.9073842302878599,0.9102322661644695,0.9925373738783696,7.49
Random Forest,0.9665696642770956,0.9104859335038363,0.8911138923654568,0.900695762175838,0.9908769350615169,1.24
Decision Tree,0.9651501171126411,0.9010942760942761,0.8931998331247393,0.8971296878273622,0.9808574258420585,0.2
Support Vector Machine (RBF),0.9600397473206047,0.8814475873544093,0.8840216937838965,0.8827327640074984,0.9686308728366839,148.14
